case_id,comparison_track_id,comparison_track_label,window_km,snapshot_count,mean_fss,min_fss,max_fss,fss_24h,fss_48h,fss_72h
CASE_2016-09-01,deterministic,OpenDrift deterministic,1,3,0.38888888888888884,0.0,0.6666666666666666,0.6666666666666666,0.5,0.0
CASE_2016-09-01,deterministic,OpenDrift deterministic,3,3,0.49773063777381094,0.1651376146788989,0.7692307692307692,0.7692307692307692,0.5588235294117647,0.1651376146788989
CASE_2016-09-01,deterministic,OpenDrift deterministic,5,3,0.5462942286763306,0.2808022922636105,0.782608695652174,0.782608695652174,0.5754716981132074,0.2808022922636105
CASE_2016-09-01,deterministic,OpenDrift deterministic,10,3,0.5846238309499636,0.3743523316062176,0.7916666666666667,0.7916666666666667,0.5878524945770065,0.3743523316062176
CASE_2016-09-01,ensemble_p50,OpenDrift p50 occupancy footprint,1,3,0.33383458646616543,0.2857142857142858,0.4,0.4,0.3157894736842105,0.2857142857142858
CASE_2016-09-01,ensemble_p50,OpenDrift p50 occupancy footprint,3,3,0.43265877564429545,0.3858520900321543,0.5182926829268293,0.5182926829268293,0.3938315539739028,0.3858520900321543
CASE_2016-09-01,ensemble_p50,OpenDrift p50 occupancy footprint,5,3,0.43330693724856423,0.3803973509933774,0.4966555183946489,0.4966555183946489,0.3803973509933774,0.4228679423576662
CASE_2016-09-01,ensemble_p50,OpenDrift p50 occupancy footprint,10,3,0.42986383488467256,0.3698482623592753,0.4827706230421162,0.4827706230421162,0.3698482623592753,0.4369726192526261
CASE_2016-09-01,ensemble_p90,OpenDrift p90 occupancy footprint,1,3,0.37105836486641436,0.3157894736842105,0.4444444444444445,0.4444444444444445,0.3529411764705883,0.3157894736842105
CASE_2016-09-01,ensemble_p90,OpenDrift p90 occupancy footprint,3,3,0.4813999753068172,0.4296081277213353,0.5830258302583027,0.5830258302583027,0.4296081277213353,0.4315659679408138
CASE_2016-09-01,ensemble_p90,OpenDrift p90 occupancy footprint,5,3,0.4823649998570651,0.4214738246082027,0.5586708203530635,0.5586708203530635,0.4214738246082027,0.466950354609929
CASE_2016-09-01,ensemble_p90,OpenDrift p90 occupancy footprint,10,3,0.4803808413784165,0.414673844998122,0.5426561125769571,0.5426561125769571,0.414673844998122,0.4838125665601706
CASE_2016-09-06,deterministic,OpenDrift deterministic,1,3,0.43333333333333335,0.4,0.5,0.4,0.4,0.5
CASE_2016-09-06,deterministic,OpenDrift deterministic,3,3,0.49208490735743843,0.4587155963302752,0.5588235294117647,0.4587155963302752,0.4587155963302753,0.5588235294117647
CASE_2016-09-06,deterministic,OpenDrift deterministic,5,3,0.5012794867636193,0.4641833810888252,0.5754716981132075,0.4641833810888252,0.4641833810888254,0.5754716981132075
CASE_2016-09-06,deterministic,OpenDrift deterministic,10,3,0.5076952183995894,0.4676165803108808,0.5878524945770064,0.4676165803108808,0.4676165803108808,0.5878524945770064
CASE_2016-09-06,ensemble_p50,OpenDrift p50 occupancy footprint,1,3,0.4254180602006688,0.2608695652173912,0.6153846153846154,0.6153846153846154,0.4,0.2608695652173912
CASE_2016-09-06,ensemble_p50,OpenDrift p50 occupancy footprint,3,3,0.5766780358687732,0.3764921946740127,0.779510022271715,0.779510022271715,0.5740318906605921,0.3764921946740127
CASE_2016-09-06,ensemble_p50,OpenDrift p50 occupancy footprint,5,3,0.5418272972693857,0.3377018043684709,0.7638971906754334,0.7638971906754334,0.5238828967642527,0.3377018043684709
CASE_2016-09-06,ensemble_p50,OpenDrift p50 occupancy footprint,10,3,0.5193403201320673,0.3116047745358089,0.7527066929133859,0.7527066929133859,0.4937094929470074,0.3116047745358089
CASE_2016-09-06,ensemble_p90,OpenDrift p90 occupancy footprint,1,3,0.4699940582293523,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.4705882352941177,0.2727272727272727
CASE_2016-09-06,ensemble_p90,OpenDrift p90 occupancy footprint,3,3,0.6176999986679684,0.3960784313725491,0.8040201005025126,0.8040201005025126,0.6530014641288433,0.3960784313725491
CASE_2016-09-06,ensemble_p90,OpenDrift p90 occupancy footprint,5,3,0.5890467885541774,0.3544407894736842,0.8055944055944056,0.8055944055944056,0.6071051705944426,0.3544407894736842
CASE_2016-09-06,ensemble_p90,OpenDrift p90 occupancy footprint,10,3,0.5709699050735838,0.3273770610881091,0.8035242290748899,0.8035242290748899,0.5820084250577525,0.3273770610881091
CASE_2016-09-17,deterministic,OpenDrift deterministic,1,3,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333
CASE_2016-09-17,deterministic,OpenDrift deterministic,3,3,0.7293832293832293,0.4189189189189189,1.0,1.0,0.7692307692307692,0.4189189189189189
CASE_2016-09-17,deterministic,OpenDrift deterministic,5,3,0.7288695652173912,0.404,1.0,1.0,0.782608695652174,0.404
CASE_2016-09-17,deterministic,OpenDrift deterministic,10,3,0.7285177098495875,0.3938864628820959,1.0,1.0,0.7916666666666666,0.3938864628820959
CASE_2016-09-17,ensemble_p50,OpenDrift p50 occupancy footprint,1,3,0.27843137254901956,0.1999999999999999,0.4,0.1999999999999999,0.2352941176470587,0.4
CASE_2016-09-17,ensemble_p50,OpenDrift p50 occupancy footprint,3,3,0.39228873873926706,0.2648648648648646,0.5709372312983663,0.2648648648648646,0.3410641200545703,0.5709372312983663
CASE_2016-09-17,ensemble_p50,OpenDrift p50 occupancy footprint,5,3,0.3600389458028195,0.2424677187948349,0.5370675453047775,0.2424677187948349,0.300581573308846,0.5370675453047775
CASE_2016-09-17,ensemble_p50,OpenDrift p50 occupancy footprint,10,3,0.33553627610266207,0.2297772567409145,0.4982471795525527,0.2297772567409145,0.278584392014519,0.4982471795525527
CASE_2016-09-17,ensemble_p90,OpenDrift p90 occupancy footprint,1,3,0.3089225589225589,0.2222222222222221,0.4545454545454546,0.2222222222222221,0.25,0.4545454545454546
CASE_2016-09-17,ensemble_p90,OpenDrift p90 occupancy footprint,3,3,0.4303852334204216,0.2931596091205212,0.6365503080082136,0.2931596091205212,0.36144578313253,0.6365503080082136
CASE_2016-09-17,ensemble_p90,OpenDrift p90 occupancy footprint,5,3,0.396111992799334,0.2705570291777187,0.5984396512161541,0.2705570291777187,0.3193392980041293,0.5984396512161541
CASE_2016-09-17,ensemble_p90,OpenDrift p90 occupancy footprint,10,3,0.37350656460284193,0.257226491035492,0.5663094440723375,0.257226491035492,0.2969837587006962,0.5663094440723375
