pair_id,pair_role,track_id,forecast_product_type,forecast_path,observation_product_type,observation_path,pairing_date_utc,source_semantics,truth_source,transport_model,provisional_transport_model,grid_id,grid_crs,precheck_csv,precheck_json,run_type,reused_deterministic_products,forecast_nonzero_cells,obs_nonzero_cells,area_ratio_forecast_to_obs,centroid_distance_m,iou,dice,nearest_distance_to_obs_m,ocean_cell_count,fss_1km,fss_3km,fss_5km,fss_10km,reused_from_phase3c_external_case_ensemble_comparison
opendrift_control_2010-05-21,per_date,opendrift_control,control_footprint_mask_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/products/control_footprint_mask_2010-05-21_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-21.tif,2010-05-21,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_2010-05-21.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_2010-05-21.json,deterministic,True,32398,18309,1.7695122617292045,10330.03661660316,0.2444962572094735,0.3929240538781627,0.0,310591,0.3929240538781627,0.4502826053749162,0.4692022064514385,0.502935699100052,True
opendrift_control_2010-05-22,per_date,opendrift_control,control_footprint_mask_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/products/control_footprint_mask_2010-05-22_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-22.tif,2010-05-22,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_2010-05-22.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_2010-05-22.json,deterministic,True,30577,29639,1.0316474914808191,76232.46730332871,0.2619137432415441,0.4151056197688322,0.0,310591,0.4151056197688322,0.4739006448409186,0.4965901046519223,0.5375688001709893,True
opendrift_control_2010-05-23,per_date,opendrift_control,control_footprint_mask_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/products/control_footprint_mask_2010-05-23_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-23.tif,2010-05-23,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_2010-05-23.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_2010-05-23.json,deterministic,True,29183,28969,1.0073872070143948,75782.78907885356,0.2212445135140811,0.3623263172375842,0.0,310591,0.3623263172375842,0.4081119148971579,0.4258838521947463,0.4620170046732202,True
opendrift_control_eventcorridor_2010-05-21_2010-05-23,event_corridor,opendrift_control,control_footprint_mask_eventcorridor,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/products/control_footprint_mask_2010-05-21_2010-05-23_eventcorridor.tif,public_dwh_observation_mask_eventcorridor,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/obs_mask_2010-05-21_2010-05-23_eventcorridor.tif,2010-05-21/2010-05-23,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_eventcorridor_2010-05-21_2010-05-23.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/opendrift_control_eventcorridor_2010-05-21_2010-05-23.json,deterministic,True,53980,44305,1.2183726441710867,72547.71797932636,0.336229164967235,0.5032507503688254,0.0,310591,0.5032507503688254,0.5522595364660361,0.5699509237431393,0.6018332061372648,True
ensemble_p50_2010-05-21,per_date,ensemble_p50,mask_p50_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/mask_p50_2010-05-21_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-21.tif,2010-05-21,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_2010-05-21.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_2010-05-21.json,ensemble_p50,False,32064,18309,1.7512698672783875,12911.21041152912,0.2632093688090879,0.416731185357235,0.0,310591,0.4167311853572349,0.444215305254616,0.4597503684845949,0.491068646512929,True
ensemble_p50_2010-05-22,per_date,ensemble_p50,mask_p50_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/mask_p50_2010-05-22_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-22.tif,2010-05-22,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_2010-05-22.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_2010-05-22.json,ensemble_p50,False,30817,29639,1.039744930665677,91618.0859732554,0.323351720514841,0.4886859865025804,0.0,310591,0.4886859865025804,0.5278173845318348,0.5503094005366749,0.5962287233937766,True
ensemble_p50_2010-05-23,per_date,ensemble_p50,mask_p50_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/mask_p50_2010-05-23_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-23.tif,2010-05-23,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_2010-05-23.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_2010-05-23.json,ensemble_p50,False,29466,28969,1.0171562704960475,91101.48812886389,0.2731214187672934,0.4290579276118764,0.0,310591,0.4290579276118764,0.4604353790410878,0.4798621984061918,0.5213871391060373,True
ensemble_p50_eventcorridor_2010-05-21_2010-05-23,event_corridor,ensemble_p50,mask_p50_eventcorridor,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/mask_p50_2010-05-21_2010-05-23_eventcorridor.tif,public_dwh_observation_mask_eventcorridor,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/obs_mask_2010-05-21_2010-05-23_eventcorridor.tif,2010-05-21/2010-05-23,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_eventcorridor_2010-05-21_2010-05-23.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p50_eventcorridor_2010-05-21_2010-05-23.json,ensemble_p50,False,51922,44305,1.171921904976865,94270.4655276587,0.3330978208165358,0.4997350016107745,0.0,310591,0.4997350016107745,0.529937889293113,0.5467342141741067,0.579021336824227,True
ensemble_p90_2010-05-21,per_date,ensemble_p90,mask_p90_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/mask_p90_2010-05-21_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-21.tif,2010-05-21,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p90_2010-05-21.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p90_2010-05-21.json,ensemble_p90,False,15960,18309,0.8717024414222514,17793.266946493597,0.2849750646818403,0.4435495637456593,0.0,310591,0.4435495637456593,0.4848458416923928,0.503548275306642,0.5399640932860689,True
ensemble_p90_2010-05-22,per_date,ensemble_p90,mask_p90_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/mask_p90_2010-05-22_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-22.tif,2010-05-22,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p90_2010-05-22.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p90_2010-05-22.json,ensemble_p90,False,15256,29639,0.5147272175174601,67463.397367849,0.2788776527560176,0.4361287448490923,0.0,310591,0.4361287448490923,0.4766774772160339,0.4979199494220134,0.5374651365296192,True
ensemble_p90_2010-05-23,per_date,ensemble_p90,mask_p90_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/mask_p90_2010-05-23_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-23.tif,2010-05-23,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p90_2010-05-23.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p90_2010-05-23.json,ensemble_p90,False,14912,28969,0.5147571541993166,72492.78886871139,0.253026841804683,0.4038649985187211,0.0,310591,0.4038649985187211,0.4347767937705259,0.4520240552226734,0.4862824745799448,True
ensemble_p90_eventcorridor_2010-05-21_2010-05-23,event_corridor,ensemble_p90,mask_p90_eventcorridor,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/mask_p90_2010-05-21_2010-05-23_eventcorridor.tif,public_dwh_observation_mask_eventcorridor,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/obs_mask_2010-05-21_2010-05-23_eventcorridor.tif,2010-05-21/2010-05-23,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p90_eventcorridor_2010-05-21_2010-05-23.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/prechecks/ensemble_p90_eventcorridor_2010-05-21_2010-05-23.json,ensemble_p90,False,27776,44305,0.6269269834104503,68939.88605452063,0.2938378417188706,0.4542112345833159,0.0,310591,0.454211234583316,0.4892338935942897,0.5062105106404822,0.536833105337341,True
pygnome_deterministic_2010-05-21,per_date,pygnome_deterministic,pygnome_footprint_mask_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_dwh_pygnome_comparator/products/pygnome_footprint_mask_2010-05-21_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-21.tif,2010-05-21,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_dwh_pygnome_comparator/prechecks/pygnome_deterministic_2010-05-21.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_dwh_pygnome_comparator/prechecks/pygnome_deterministic_2010-05-21.json,pygnome_deterministic,False,7422,18309,0.4053744060298214,11286.917119679345,0.11519958392926798,0.20659904395476275,0.0,310591,0.2065990439547627,0.23181785883046535,0.250366977977345,0.2848881994065231,False
pygnome_deterministic_2010-05-22,per_date,pygnome_deterministic,pygnome_footprint_mask_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_dwh_pygnome_comparator/products/pygnome_footprint_mask_2010-05-22_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-22.tif,2010-05-22,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_dwh_pygnome_comparator/prechecks/pygnome_deterministic_2010-05-22.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_dwh_pygnome_comparator/prechecks/pygnome_deterministic_2010-05-22.json,pygnome_deterministic,False,8825,29639,0.2977495866932083,72302.3753510906,0.1232004672214922,0.21937396006655574,0.0,310591,0.21937396006655574,0.24450786716519302,0.26074327645551254,0.29117000571706875,False
pygnome_deterministic_2010-05-23,per_date,pygnome_deterministic,pygnome_footprint_mask_datecomposite,output/CASE_DWH_RETRO_2010_72H/phase3c_dwh_pygnome_comparator/products/pygnome_footprint_mask_2010-05-23_datecomposite.tif,public_dwh_observation_mask,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-23.tif,2010-05-23,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_dwh_pygnome_comparator/prechecks/pygnome_deterministic_2010-05-23.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_dwh_pygnome_comparator/prechecks/pygnome_deterministic_2010-05-23.json,pygnome_deterministic,False,10071,28969,0.3476474852428458,53057.51784598663,0.12640295449955277,0.22443647540983608,0.0,310591,0.22443647540983613,0.2444718436953005,0.257744231518907,0.2861733216777772,False
pygnome_deterministic_eventcorridor_2010-05-21_2010-05-23,event_corridor,pygnome_deterministic,pygnome_eventcorridor_union,output/CASE_DWH_RETRO_2010_72H/phase3c_dwh_pygnome_comparator/products/pygnome_eventcorridor_union_2010-05-21_to_2010-05-23.tif,public_dwh_observation_mask_eventcorridor,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/products/obs_mask_2010-05-21_2010-05-23_eventcorridor.tif,2010-05-21/2010-05-23,date-composite public DWH observations; no invented sub-daily acquisition time,public_dwh_observation_derived_mask,OpenDrift OceanDrift,True,CASE_DWH_RETRO_2010_72H_EPSG32616_1000m,EPSG:32616,output/CASE_DWH_RETRO_2010_72H/phase3c_dwh_pygnome_comparator/prechecks/pygnome_deterministic_eventcorridor_2010-05-21_2010-05-23.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_dwh_pygnome_comparator/prechecks/pygnome_deterministic_eventcorridor_2010-05-21_2010-05-23.json,pygnome_deterministic,False,20639,44305,0.46583907008238346,58867.1171755057,0.1902789487188886,0.31972160630697216,0.0,310591,0.3197216063069722,0.34949966289065304,0.3688947943200658,0.4068381750631135,False
